Player,Team,Position,Pitcher,League,Division,Yankees,Playoff Team 2011,World Series Team 2011,Salary
Brandon Phillips,Cincinnati Reds,Second Baseman,No,National,National Central,No,No,No,11437500
Brandon Webb,Texas Rangers,Pitcher,Yes,American,American West,No,Yes,Yes,3000000
Brandon Wood,Los Angeles Angels,Third Baseman,No,American,American West,No,No,No,420000
Brayan Pena,Kansas City Royals,Catcher,No,American,American Central,No,No,No,660000
Brayan Villarreal,Detroit Tigers,Pitcher,Yes,American,American Central,No,Yes,No,414000
Brendan Ryan,Seattle Mariners,Shortstop,No,American,American West,No,No,No,1000000
Brennan Boesch,Detroit Tigers,Outfielder,No,American,American Central,No,Yes,No,430000
Brent Lillibridge,Chicago White Sox,Second Baseman,No,American,American Central,No,No,No,430000
Brent Morel,Chicago White Sox,Third Baseman,No,American,American Central,No,No,No,414000
Brett Anderson,Oakland Athletics,Pitcher,Yes,American,American West,No,No,No,1250000
Brett Cecil,Toronto Blue Jays,Pitcher,Yes,American,American East,No,No,No,443100
Brett Gardner,New York Yankees,Outfielder,No,American,American East,Yes,Yes,No,529500
Brett Hayes,Miami Marlins,Catcher,No,National,National East,No,No,No,414000
Brett Myers,Houston Astros,Pitcher,Yes,National,National Central,No,No,No,8000000
Brett Wallace,Houston Astros,First Baseman,No,National,National Central,No,No,No,418000
Brian Bocock,Philadelphia Phillies,Shortstop,No,National,National East,No,Yes,No,414000
Brian Broderick,Washington Nationals,Pitcher,Yes,National,National East,No,No,No,414000
Brian Duensing,Minnesota Twins,Pitcher,Yes,American,American Central,No,No,No,462500
Brian Fuentes,Oakland Athletics,Pitcher,Yes,American,American West,No,No,No,5000000
Brian Matusz,Baltimore Orioles,Pitcher,Yes,American,American East,No,No,No,1350000
Brian McCann,Atlanta Braves,Catcher,No,National,National East,No,No,No,6700000
Brian Roberts,Baltimore Orioles,Second Baseman,No,American,American East,No,No,No,10000000
Brian Sanches,Miami Marlins,Pitcher,Yes,National,National East,No,No,No,425000
Brian Schlitter,Philadelphia Phillies,Pitcher,Yes,National,National East,No,Yes,No,414000
Brian Schneider,Philadelphia Phillies,Catcher,No,National,National East,No,Yes,No,1625000
Brian Tallet,St. Louis Cardinals,Pitcher,Yes,National,National Central,No,Yes,Yes,750000
Brian Wilson,San Francisco Giants,Pitcher,Yes,National,National West,No,No,No,6500000
Bronson Arroyo,Cincinnati Reds,Pitcher,Yes,National,National Central,No,No,No,7666666
Brooks Conrad,Atlanta Braves,Third Baseman,No,National,National East,No,No,No,427250
